20 5301
-79.0693166025 37.622179155 6.31271623484
-76.4436347284 36.8310937412 6.32350744629
-76.4441347353 37.112403645 6.32472182484
-79.6030740181 36.9190514071 6.30541944874
-76.9925784723 37.4747048434 6.31363744417
-77.6826908327 37.2044208394 6.31985243162
-76.0408505246 36.925944047 6.32364952416
-77.4248703241 38.4293231945 6.33557564736
-77.4352433418 38.8178419161 6.33827152167
-81.9013564261 36.8864317245 6.2418597347
-77.6381496694 37.7779628498 6.3218577037
-78.6046487899 38.2718122097 6.32477512359
-77.2536611066 38.740503991 6.33870201166
-76.226072936 36.8117639571 6.32506272888
-80.2365220996 37.2290715822 6.31713443867
-77.4759323145 37.526696328 6.32483210063
-77.0923856157 38.811561732 6.33928080547
-77.9683612043 38.9258724422 6.32664416149
-77.1849105586 38.8831297705 6.339043208
-77.4317665942 39.0115544211 6.33826756592
-76.323898188 37.0170996922 2 1186
-76.3930632474 36.9872281339 1 706
-76.9707450187 38.2589545398 7 1278
-77.9888356283 38.489362962 17 1478
-77.0856482236 38.7735690186 16 2343
-77.5327567991 37.5433394226 15 1054
-76.1538763538 36.7875593277 13 844
-77.4358126618 38.822958651 8 2296
-77.3003259958 38.8750981497 8 2399
-80.0152777876 37.2340325469 14 1363
-77.3060758429 38.6598076717 12 1432
-77.6177942972 38.8031466355 17 1185
-77.1476900819 38.7657660394 12 1200
-76.2621524289 36.8741078827 13 1135
-78.5051294442 38.0302094175 11 2511
-77.1480308212 38.7624557993 12 832
-77.1138382981 38.8434847746 16 1675
-78.1610573373 39.1983901998 17 795
-77.205838623 38.9291186475 18 1623
-77.3949122628 38.9804847689 19 1517
-77.3743485988 37.6176493209 15 1972
-77.207508628 38.9037654014 18 2268
-77.6408495681 37.4276127387 5 1122
-77.430163067 37.5731518464 15 695
-77.0929367913 38.8150017355 16 765
-77.5700620155 37.599410454 10 908
-77.7982016541 38.7217996358 17 1593
-77.1234454647 38.821742922 16 1633
-77.3996742929 39.037108701 19 2316
-77.4980389908 37.2075490973 5 2747
-77.4420649466 39.0316946294 19 521
-77.0414690781 38.8526448191 16 4
-76.0850743016 36.6074335022 13 1219
-77.0879415648 38.7534162606 16 2089
-77.4215474835 37.563341027 15 480
-76.3736479181 36.8429429951 1 744
-77.4609401512 37.3873066602 5 770 15 304
-77.3154891129 38.5669335765 7 1344
-81.5144257762 36.8280932599 9 709
-77.271325431 38.8206618979 12 1887
-77.3922923737 38.9549714041 19 798
-77.4179015441 37.5784765814 15 1435
-77.3793899342 39.0479635429 19 1601
-79.9428983423 37.3274945921 14 2499
-77.2292591469 38.7914660725 12 1449
-77.4135451171 37.2527273861 5 1811
-79.9853266347 37.7793447328 14 569
-77.2132546082 38.8431976211 18 2779
-76.3035501507 37.0481115484 2 830
-77.4857246626 39.0756541257 19 1429
-76.0740119946 36.7976112285 6 720
-77.2848101768 38.8002695709 12 2106
-77.0661312052 38.7891078073 16 576
-77.298620139 38.5927648881 7 1265
-77.4122009851 37.2182019449 5 1096
-76.2667405621 36.851655437 13 658
-77.2857413528 38.8945865057 18 2954
-76.1382818859 36.7998723401 6 1553
-77.536413772 38.2656937704 7 923
-79.133262129 37.475555592 0 932
-76.2112590319 36.8059789743 13 1588
-77.4317806464 37.3536285078 5 1104
-76.6576030003 36.7109863509 1 1037
-76.2522003303 36.7185494954 13 1925
-77.3805357222 37.5494815028 15 2041
-77.4674051948 37.5806836744 15 680
-76.1481069605 36.8659940344 6 690
-77.4889864844 37.6085028492 15 1431
-77.5547768022 37.63498491 10 1479
-77.1752418381 38.783870392 12 1538
-77.4173863312 37.5915436878 15 707
-77.547111322 37.6311921777 10 1033
-77.3419624665 38.943102718 19 2254
-76.2513576239 36.9420502935 13 2372
-77.0709357558 38.8963239389 16 573
-76.3827332397 37.0363147986 2 831
-77.2592744788 38.8689644846 18 2546
-77.2649617494 38.6610574501 12 1106
-76.12353119 36.8598546265 6 1040
-80.0809620244 37.2777322164 14 1181
-77.0636551105 38.8389659251 16 1689
-79.1605899783 37.3953860989 0 890
-77.1131754147 38.8935545866 18 1173
-80.4314832953 37.2413525224 14 883
-77.2779979326 38.6502110367 12 1758
-77.2120263602 38.9159387586 18 1066
-77.4184611491 38.9973394378 19 2534
-76.584818829 36.7300568836 1 530
-76.7997928157 37.535092967 4 1275
-77.3597722116 39.0495185382 19 1562
-77.2015820478 38.7803119663 12 951
-77.470231332 37.5414537003 15 1181
-76.277277653 36.8753807979 13 969
-77.2129598824 38.9047171175 18 1717
-76.5504873279 37.1550216876 2 1895
-78.1442772916 39.1839046809 17 936
-81.9894153763 36.7019972979 9 1442
-77.5275628526 37.5751685098 15 1258
-77.1008215182 38.8396428817 16 1058
-77.4831392204 37.4420969295 15 921
-77.4576997897 37.5875283381 15 1432
-78.5104501304 38.0649503361 11 1078
-77.4694089794 38.7338278639 8 1960
-77.202226565 38.910374383 18 711
-76.3971089808 36.8891982315 1 1490
-77.3914917338 37.6094491708 15 2170
-76.0739230729 36.8288730321 6 1810
-76.1681084696 36.7825655367 13 694
-77.0923534536 38.8685284172 16 1037
-80.4453409509 37.2163205013 14 492
-76.2539046207 36.8704266366 13 1275
-77.4240192995 37.5305198976 15 2832
-77.2150570604 38.8799242504 18 1537
-77.5030498266 37.616378427 10 1276
-76.3315396728 36.8095413666 1 785
-77.3262945238 38.6440773979 12 2081
-77.2935183042 38.8480651985 12 1263
-79.8509616259 36.6531356268 3 640
-76.2942478991 36.8682503355 1 708
-76.2214871571 36.7665213194 13 1237
-76.3049766001 37.0099062642 2 696
-77.3271966593 38.8508827499 8 943
-77.0586247695 38.8627976872 16 2179
-77.8589532845 37.555584049 10 2174
-76.4242122333 37.0992031815 2 2933
-77.6114616078 37.592250522 10 3125
-76.1960932491 36.921698104 6 1892
-77.3916739582 37.4913097998 15 3817
-77.3874247347 37.2214869769 5 579
-78.9163980687 38.0716731311 0 1218
-77.4695280671 37.5586284539 15 1525
-77.5405726229 37.5953001341 10 851
-80.4247051002 37.2434101432 14 1622
-77.2270235096 38.8670192254 18 2233
-77.3845614136 39.0320993116 19 2695
-77.1591671274 38.7570258902 12 1413
-76.3679853707 37.011701961 2 586
-77.4745993152 38.3025495703 7 2647
-77.0864474304 38.8883213651 16 1465
-77.0437573474 38.8022521559 16 765
-80.926269377 36.6566624518 9 788
-77.435175696 38.8354641902 8 1199
-77.1810316929 38.8761686518 18 980
-76.1708414149 36.8334941046 13 1481
-77.1846761726 38.8936492891 18 1036
-76.3578118086 36.8027927724 1 767
-77.1285938108 38.8125843719 16 1219
-77.4997579316 39.0443266469 19 2248
-77.4296623871 37.5836604434 15 1205
-75.988239385 36.8543419824 6 1984
-79.1886623663 37.3926072335 0 868
-77.1684208639 38.7460263628 12 869
-80.4227974752 37.235127827 14 1033
-77.4519307896 38.8209241767 8 2557
-77.055944743 38.7986134576 16 1046
-76.2171668049 36.8419576769 13 1610
-77.0806058151 38.8534414581 16 2293
-75.988741116 36.8333327223 6 1156
-77.1383207809 38.8533984924 18 1478
-76.4116867472 36.9719023763 1 1832
-79.8797309465 37.2830584364 3 2202
-78.1571173345 39.1923009 17 957
-77.212668843 37.9764062105 4 1915
-77.4286107182 39.010043346 19 1909
-77.4549664574 39.0184759269 19 1786
-79.974966901 37.303702763 14 960
-77.4187345405 38.824066263 8 2384
-77.2279675152 38.8258265772 12 1953
-77.3237128073 38.9920076115 19 1743
-75.9846373257 36.8691976057 6 920
-76.2768563573 36.8523852167 13 840
-80.0734050158 37.2823427322 14 690
-77.1913825418 38.9259524397 18 762
-79.9706713426 37.2899313206 14 1656
-77.0762154749 38.896431014 16 2210
-77.0988949019 38.7353789812 16 1631
-76.2917686365 36.8499882355 1 2506
-77.4169363436 37.5547533319 15 1669
-77.3817318685 37.5781510977 15 2783
-76.3836786058 36.7835427017 1 983
-79.1265159961 37.392798718 0 1169
-77.1983922096 38.9380806075 18 1014
-77.3729224759 38.9810651419 19 1015
-77.3168660247 38.8452452766 8 1566
-80.5776722808 37.1258929421 14 1059
-76.2560099434 36.9339001698 13 1708
-79.9393116431 37.3094185754 14 1556
-77.2142253614 38.8148070051 12 1174
-76.2621173135 36.8478808638 13 2284
-77.4976940889 37.5623778523 15 1267
-77.1771925554 38.9069869494 18 1397
-77.1830627045 38.9182483551 18 2226
-77.0700955045 38.7885577015 16 1578
-80.0363101013 37.2928372044 14 1646
-77.4574769459 38.2317240169 7 2628
-77.0562246235 38.805537298 16 1020
-77.4331798778 37.5657702929 15 824
-77.5147317341 37.612998244 10 931
-77.0843227669 38.8659916269 16 1794
-76.1874382489 36.7892497674 13 1293
-77.5564486605 37.6285457626 10 2357
-77.5067541886 38.7810801997 8 887
-77.6909558564 37.4144072271 5 2762
-76.5182354046 37.157310952 2 1428
-79.1639674446 37.4018021406 0 1874
-77.5550068106 37.5364326555 15 778
-76.2597168112 36.8807250704 13 1327
-77.4133870488 38.9142076607 8 1638 19 656
-76.3062706287 36.8683830864 1 1428
-77.3058812188 37.2992367538 4 1254
-76.6705584644 37.2601951068 4 1370
-78.4386116345 38.6714661862 11 821
-77.243373647 38.807592978 12 2070
-77.0733424933 38.8895512219 16 1274
-76.2011644112 36.8069936908 13 1027
-77.1370941012 38.8992715249 18 777
-76.5243256961 37.1294807894 2 1928
-77.2166171549 38.6986819973 12 1237
-76.1422513765 36.9020451646 6 1021
-77.1343285663 38.8205487472 16 2487
-80.426529658 37.2476118435 14 1758
-77.157264639 38.8487685665 18 789
-76.2552512507 36.8779361458 13 817
-77.1800163891 38.8214076543 18 1974
-77.2905045861 38.8404147946 12 967
-76.1353179151 36.8703255308 6 1042
-76.2431873657 36.8666169744 13 1956
-76.1433240976 36.8402566819 6 1202
-77.1391520534 38.786077501 16 1068
-77.0538856333 38.7556660218 16 1373
-77.5546680176 37.4385899882 5 2798
-77.4254009368 38.9529472714 19 1293
-77.393922101 38.9729623421 19 864
-77.0675913876 38.7158424689 16 1302
-77.3268664347 38.9274555463 19 1736
-79.0885780879 38.159035337 0 1530
-76.4242319723 36.986067782 1 998
-77.2800371312 37.3104789303 4 1555
-77.4441116649 38.8470540661 8 835
-77.2896739884 38.7943203995 12 2425
-77.0988910157 38.781152713 16 876
-77.4353227242 37.5008007398 15 1458
-77.3820193369 38.9900345312 19 882
-76.5453824998 36.7487823115 1 887
-76.2209308966 36.6987350059 13 1875
-76.2672035735 36.8128874861 13 884
-77.401811637 37.2326690457 5 685
-77.5520390895 36.6809641165 5 744
-77.2657209724 38.8798613407 18 1093
-76.4297139122 37.012953842 2 892
-77.0547888474 38.8252823998 16 1036
-77.4739014016 37.4657116091 15 788
-76.1905820018 36.8093536421 13 795
-77.448353613 38.8151566211 8 1366
-77.4740229453 37.5617457714 15 1810
-77.4608672815 37.6007120133 15 1211
-77.3148326894 38.838815989 8 1206
-76.7365197262 37.240816953 4 2177
-77.327596344 38.6890881053 12 1351
-76.050584696 36.8487046902 6 651
-77.2725562685 38.781366988 12 1873
-77.5157076988 37.5852548612 15 763
-77.336807387 38.9713190895 19 1244
-79.389284323 36.6067809491 3 1101
-76.9680057436 38.2446587398 7 1076
-77.317821968 38.5580999405 7 1747
-77.4649108964 37.5522324466 15 1290
-77.4945429083 37.6207239176 10 978
-77.1201536339 38.8453174823 16 1954
-77.42265351 37.6242452361 15 2401
-77.3000483395 38.8649978192 8 1220
-77.0692800466 38.8349060343 16 675
-77.4720873098 37.7764751622 10 1524
-77.4994413867 38.7828347128 8 1158
-80.4172343129 37.2508495531 14 1949
-76.4199811187 37.0121101872 2 737
-77.5423940755 37.4354355768 5 1368
-76.363096805 37.0130520031 2 1113
-76.1922027817 36.7725992173 13 1389
-76.2882548534 36.957063857 1 1341
