40 5301
-79.7461546041 37.4828320159 5.40228417131
-76.3154421595 36.9270446382 5.4229163726
-76.2252293011 37.2474406895 5.41777200344
-79.9907481104 37.2243773907 5.40826321612
-77.1133871136 38.7627667462 5.43386758656
-77.6430009824 37.4623144358 5.4252336586
-76.0400590361 36.8132786847 5.42311836166
-77.545567256 38.2800879955 5.43261304191
-77.4515036877 38.8338096799 5.43377543545
-81.3719768431 36.9166411583 5.37902748408
-77.6175241694 37.7225978741 5.42519214924
-78.2197594311 38.173673865 5.42000181245
-77.3172156679 38.6685293559 5.43345463172
-76.1735359926 36.8724912597 5.42296473276
-80.4782884858 37.0933335746 5.40400209953
-77.486580726 37.597359684 5.42602143502
-77.2127840432 38.896588004 5.4338044345
-78.7759770369 38.4983001237 5.41249801154
-77.3799348513 38.9905268507 5.43397391888
-77.6163148609 38.7500624238 5.43266882693
-76.5017013769 37.1056171833 5.42353129603
-77.3309286932 38.8712379692 5.43375578938
-79.5861542193 36.7091619922 5.40543681728
-77.4696365171 37.444701251 5.42559687112
-77.1321652852 38.8621569331 5.43392561386
-79.1667902945 37.3757097256 5.41582698468
-78.8138412584 38.0525921753 5.41831012232
-77.235565645 38.7800678052 5.43388655683
-77.5438271335 39.0712287212 5.43328243821
-78.332200366 37.0802021513 5.39554148634
-78.1504337406 39.0646784514 5.42210323879
-77.0770333706 38.8457587205 5.43389892327
-76.1820399523 36.7593268489 5.42286101002
-76.6912833889 37.5016699967 5.41950502487
-77.3824580443 37.1539705372 5.4245211697
-76.3058700542 36.7968258782 5.42296266742
-76.5870771888 36.8184121417 5.41974358921
-77.3242169769 37.5913346086 5.42532545571
-82.4307360092 36.8562222906 5.38897199363
-77.3353745293 38.4717164589 5.4314996838
-76.323898188 37.0170996922 2 1186
-76.3930632474 36.9872281339 1 706
-76.9707450187 38.2589545398 39 1278
-77.9888356283 38.489362962 11 1478
-77.0856482236 38.7735690186 4 2343
-77.5327567991 37.5433394226 15 1054
-76.1538763538 36.7875593277 32 844
-77.4358126618 38.822958651 8 2296
-77.3003259958 38.8750981497 21 2399
-80.0152777876 37.2340325469 3 1363
-77.3060758429 38.6598076717 12 1432
-77.6177942972 38.8031466355 19 1185
-77.1476900819 38.7657660394 4 1200
-76.2621524289 36.8741078827 1 1135
-78.5051294442 38.0302094175 26 2511
-77.1480308212 38.7624557993 4 832
-77.1138382981 38.8434847746 24 1675
-78.1610573373 39.1983901998 30 795
-77.205838623 38.9291186475 16 1623
-77.3949122628 38.9804847689 18 1517
-77.3743485988 37.6176493209 37 1972
-77.207508628 38.9037654014 16 2268
-77.6408495681 37.4276127387 5 1122
-77.430163067 37.5731518464 15 695
-77.0929367913 38.8150017355 31 765
-77.5700620155 37.599410454 15 908
-77.7982016541 38.7217996358 19 1593
-77.1234454647 38.821742922 24 1633
-77.3996742929 39.037108701 18 2316
-77.4980389908 37.2075490973 34 2747
-77.4420649466 39.0316946294 28 521
-77.0414690781 38.8526448191 31 4
-76.0850743016 36.6074335022 32 1219
-77.0879415648 38.7534162606 4 2089
-77.4215474835 37.563341027 37 480
-76.3736479181 36.8429429951 35 744
-77.4609401512 37.3873066602 23 1074
-77.3154891129 38.5669335765 39 1344
-81.5144257762 36.8280932599 9 709
-77.271325431 38.8206618979 27 1887
-77.3922923737 38.9549714041 18 798
-77.4179015441 37.5784765814 37 1435
-77.3793899342 39.0479635429 18 1601
-79.9428983423 37.3274945921 0 2499
-77.2292591469 38.7914660725 27 1449
-77.4135451171 37.2527273861 34 1811
-79.9853266347 37.7793447328 0 569
-77.2132546082 38.8431976211 16 2779
-76.3035501507 37.0481115484 2 830
-77.4857246626 39.0756541257 28 1429
-76.0740119946 36.7976112285 6 720
-77.2848101768 38.8002695709 27 2106
-77.0661312052 38.7891078073 4 576
-77.298620139 38.5927648881 39 1265
-77.4122009851 37.2182019449 34 1096
-76.2667405621 36.851655437 35 658
-77.2857413528 38.8945865057 21 2954
-76.1382818859 36.7998723401 32 1553
-77.536413772 38.2656937704 7 923
-79.133262129 37.475555592 25 932
-76.2112590319 36.8059789743 32 1588
-77.4317806464 37.3536285078 23 1104
-76.6576030003 36.7109863509 36 1037
-76.2522003303 36.7185494954 32 1925
-77.3805357222 37.5494815028 37 2041
-77.4674051948 37.5806836744 15 680
-76.1481069605 36.8659940344 13 690
-77.4889864844 37.6085028492 15 1431
-77.5547768022 37.63498491 10 1479
-77.1752418381 38.783870392 27 1538
-77.4173863312 37.5915436878 37 707
-77.547111322 37.6311921777 10 1033
-77.3419624665 38.943102718 21 2254
-76.2513576239 36.9420502935 1 2372
-77.0709357558 38.8963239389 31 573
-76.3827332397 37.0363147986 2 831
-77.2592744788 38.8689644846 16 2546
-77.2649617494 38.6610574501 12 1106
-76.12353119 36.8598546265 13 1040
-80.0809620244 37.2777322164 3 1181
-77.0636551105 38.8389659251 31 1689
-79.1605899783 37.3953860989 25 890
-77.1131754147 38.8935545866 24 1173
-80.4314832953 37.2413525224 14 883
-77.2779979326 38.6502110367 12 1758
-77.2120263602 38.9159387586 16 1066
-77.4184611491 38.9973394378 18 2534
-76.584818829 36.7300568836 36 530
-76.7997928157 37.535092967 33 1275
-77.3597722116 39.0495185382 18 1562
-77.2015820478 38.7803119663 27 951
-77.470231332 37.5414537003 15 1181
-76.277277653 36.8753807979 1 969
-77.2129598824 38.9047171175 16 1717
-76.5504873279 37.1550216876 20 1895
-78.1442772916 39.1839046809 30 936
-81.9894153763 36.7019972979 38 1442
-77.5275628526 37.5751685098 15 1258
-77.1008215182 38.8396428817 31 1058
-77.4831392204 37.4420969295 23 921
-77.4576997897 37.5875283381 15 1432
-78.5104501304 38.0649503361 26 1078
-77.4694089794 38.7338278639 19 1960
-77.202226565 38.910374383 16 711
-76.3971089808 36.8891982315 36 1490
-77.3914917338 37.6094491708 37 2170
-76.0739230729 36.8288730321 6 1810
-76.1681084696 36.7825655367 32 694
-77.0923534536 38.8685284172 31 1037
-80.4453409509 37.2163205013 14 492
-76.2539046207 36.8704266366 13 1275
-77.4240192995 37.5305198976 23 2832
-77.2150570604 38.8799242504 16 1537
-77.5030498266 37.616378427 15 1276
-76.3315396728 36.8095413666 35 785
-77.3262945238 38.6440773979 12 2081
-77.2935183042 38.8480651985 21 1263
-79.8509616259 36.6531356268 22 640
-76.2942478991 36.8682503355 1 708
-76.2214871571 36.7665213194 32 1237
-76.3049766001 37.0099062642 1 696
-77.3271966593 38.8508827499 21 943
-77.0586247695 38.8627976872 31 2179
-77.8589532845 37.555584049 5 2174
-76.4242122333 37.0992031815 2 2933
-77.6114616078 37.592250522 10 3125
-76.1960932491 36.921698104 13 1892
-77.3916739582 37.4913097998 23 3817
-77.3874247347 37.2214869769 34 579
-78.9163980687 38.0716731311 26 1218
-77.4695280671 37.5586284539 15 1525
-77.5405726229 37.5953001341 15 851
-80.4247051002 37.2434101432 14 1622
-77.2270235096 38.8670192254 16 2233
-77.3845614136 39.0320993116 18 2695
-77.1591671274 38.7570258902 4 1413
-76.3679853707 37.011701961 1 586
-77.4745993152 38.3025495703 7 2647
-77.0864474304 38.8883213651 31 1465
-77.0437573474 38.8022521559 31 765
-80.926269377 36.6566624518 9 788
-77.435175696 38.8354641902 8 1199
-77.1810316929 38.8761686518 16 980
-76.1708414149 36.8334941046 13 1481
-77.1846761726 38.8936492891 16 1036
-76.3578118086 36.8027927724 35 767
-77.1285938108 38.8125843719 4 1219
-77.4997579316 39.0443266469 28 2248
-77.4296623871 37.5836604434 15 1205
-75.988239385 36.8543419824 6 1984
-79.1886623663 37.3926072335 25 868
-77.1684208639 38.7460263628 4 869
-80.4227974752 37.235127827 14 1033
-77.4519307896 38.8209241767 8 2557
-77.055944743 38.7986134576 31 1046
-76.2171668049 36.8419576769 13 1610
-77.0806058151 38.8534414581 31 2293
-75.988741116 36.8333327223 6 1156
-77.1383207809 38.8533984924 24 1478
-76.4116867472 36.9719023763 1 1832
-79.8797309465 37.2830584364 0 2202
-78.1571173345 39.1923009 30 957
-77.212668843 37.9764062105 37 1915
-77.4286107182 39.010043346 18 1909
-77.4549664574 39.0184759269 28 1786
-79.974966901 37.303702763 3 960
-77.4187345405 38.824066263 8 2384
-77.2279675152 38.8258265772 27 1953
-77.3237128073 38.9920076115 18 1743
-75.9846373257 36.8691976057 6 920
-76.2768563573 36.8523852167 35 840
-80.0734050158 37.2823427322 3 690
-77.1913825418 38.9259524397 16 762
-79.9706713426 37.2899313206 3 1656
-77.0762154749 38.896431014 31 2210
-77.0988949019 38.7353789812 4 1631
-76.2917686365 36.8499882355 35 2506
-77.4169363436 37.5547533319 37 1669
-77.3817318685 37.5781510977 37 2783
-76.3836786058 36.7835427017 35 983
-79.1265159961 37.392798718 25 1169
-77.1983922096 38.9380806075 16 1014
-77.3729224759 38.9810651419 18 1015
-77.3168660247 38.8452452766 21 1566
-80.5776722808 37.1258929421 14 1059
-76.2560099434 36.9339001698 1 1708
-79.9393116431 37.3094185754 0 1556
-77.2142253614 38.8148070051 27 1174
-76.2621173135 36.8478808638 35 2284
-77.4976940889 37.5623778523 15 1267
-77.1771925554 38.9069869494 16 1397
-77.1830627045 38.9182483551 16 2226
-77.0700955045 38.7885577015 4 1578
-80.0363101013 37.2928372044 3 1646
-77.4574769459 38.2317240169 7 2628
-77.0562246235 38.805537298 31 1020
-77.4331798778 37.5657702929 15 824
-77.5147317341 37.612998244 15 931
-77.0843227669 38.8659916269 31 1794
-76.1874382489 36.7892497674 32 1293
-77.5564486605 37.6285457626 10 2357
-77.5067541886 38.7810801997 19 887
-77.6909558564 37.4144072271 5 2762
-76.5182354046 37.157310952 20 1428
-79.1639674446 37.4018021406 25 1874
-77.5550068106 37.5364326555 5 778
-76.2597168112 36.8807250704 1 1327
-77.4133870488 38.9142076607 8 2294
-76.3062706287 36.8683830864 1 1428
-77.3058812188 37.2992367538 34 1254
-76.6705584644 37.2601951068 33 1370
-78.4386116345 38.6714661862 17 821
-77.243373647 38.807592978 27 2070
-77.0733424933 38.8895512219 31 1274
-76.2011644112 36.8069936908 32 1027
-77.1370941012 38.8992715249 24 777
-76.5243256961 37.1294807894 20 1928
-77.2166171549 38.6986819973 12 1237
-76.1422513765 36.9020451646 13 1021
-77.1343285663 38.8205487472 24 2487
-80.426529658 37.2476118435 14 1758
-77.157264639 38.8487685665 24 789
-76.2552512507 36.8779361458 1 817
-77.1800163891 38.8214076543 24 1974
-77.2905045861 38.8404147946 21 967
-76.1353179151 36.8703255308 13 1042
-76.2431873657 36.8666169744 13 1956
-76.1433240976 36.8402566819 13 1202
-77.1391520534 38.786077501 4 1068
-77.0538856333 38.7556660218 4 1373
-77.5546680176 37.4385899882 5 2798
-77.4254009368 38.9529472714 18 1293
-77.393922101 38.9729623421 18 864
-77.0675913876 38.7158424689 4 1302
-77.3268664347 38.9274555463 21 1736
-79.0885780879 38.159035337 26 1530
-76.4242319723 36.986067782 1 998
-77.2800371312 37.3104789303 34 1555
-77.4441116649 38.8470540661 8 835
-77.2896739884 38.7943203995 27 2425
-77.0988910157 38.781152713 4 876
-77.4353227242 37.5008007398 23 1458
-77.3820193369 38.9900345312 18 882
-76.5453824998 36.7487823115 36 887
-76.2209308966 36.6987350059 32 1875
-76.2672035735 36.8128874861 35 884
-77.401811637 37.2326690457 34 685
-77.5520390895 36.6809641165 34 744
-77.2657209724 38.8798613407 16 1093
-76.4297139122 37.012953842 1 840 20 52
-77.0547888474 38.8252823998 31 1036
-77.4739014016 37.4657116091 23 788
-76.1905820018 36.8093536421 32 795
-77.448353613 38.8151566211 8 1366
-77.4740229453 37.5617457714 15 1810
-77.4608672815 37.6007120133 15 1211
-77.3148326894 38.838815989 21 1206
