40 5301
-79.7461546041 37.4828320159 red
-76.3154421595 36.9270446382 web-green
-76.2252293011 37.2474406895 web-blue
-79.9907481104 37.2243773907 dark-magenta
-77.1133871136 38.7627667462 dark-cyan
-77.6430009824 37.4623144358 dark-orange
-76.0400590361 36.8132786847 dark-yellow
-77.545567256 38.2800879955 royalblue
-77.4515036877 38.8338096799 goldenrod
-81.3719768431 36.9166411583 dark-spring-green
-77.6175241694 37.7225978741 purple
-78.2197594311 38.173673865 steelblue
-77.3172156679 38.6685293559 dark-red
-76.1735359926 36.8724912597 dark-chartreuse
-80.4782884858 37.0933335746 orchid
-77.486580726 37.597359684 aquamarine
-77.2127840432 38.896588004 brown
-78.7759770369 38.4983001237 yellow
-77.3799348513 38.9905268507 turquoiselight-red
-77.6163148609 38.7500624238 light-green
-76.5017013769 37.1056171833 light-blue
-77.3309286932 38.8712379692 light-magenta
-79.5861542193 36.7091619922 light-cyan
-77.4696365171 37.444701251 light-goldenrod
-77.1321652852 38.8621569331 light-pink
-79.1667902945 37.3757097256 light-turquoise
-78.8138412584 38.0525921753 gold
-77.235565645 38.7800678052 green
-77.5438271335 39.0712287212 dark-green
-78.332200366 37.0802021513 spring-green
-78.1504337406 39.0646784514 forest-green
-77.0770333706 38.8457587205 sea-green
-76.1820399523 36.7593268489 blue
-76.6912833889 37.5016699967 dark-blue
-77.3824580443 37.1539705372 midnight-blue
-76.3058700542 36.7968258782 navy
-76.5870771888 36.8184121417 medium-blue
-77.3242169769 37.5913346086 skyblue
-82.4307360092 36.8562222906 cyan
-77.3353745293 38.4717164589 magenta
-76.323898188 37.0170996922 web-blue
-76.3930632474 36.9872281339 web-green
-76.9707450187 38.2589545398 magenta
-77.9888356283 38.489362962 steelblue
-77.0856482236 38.7735690186 dark-cyan
-77.5327567991 37.5433394226 aquamarine
-76.1538763538 36.7875593277 blue
-77.4358126618 38.822958651 goldenrod
-77.3003259958 38.8750981497 light-magenta
-80.0152777876 37.2340325469 dark-magenta
-77.3060758429 38.6598076717 dark-red
-77.6177942972 38.8031466355 light-green
-77.1476900819 38.7657660394 dark-cyan
-76.2621524289 36.8741078827 web-green
-78.5051294442 38.0302094175 gold
-77.1480308212 38.7624557993 dark-cyan
-77.1138382981 38.8434847746 light-pink
-78.1610573373 39.1983901998 forest-green
-77.205838623 38.9291186475 brown
-77.3949122628 38.9804847689 turquoiselight-red
-77.3743485988 37.6176493209 skyblue
-77.207508628 38.9037654014 brown
-77.6408495681 37.4276127387 dark-orange
