11 5301
-78.5568239465 38.1780228143 red
-76.3918185775 36.941798889 web-green
-77.0573825692 37.3050812645 web-blue
-79.4703070994 37.1632068529 dark-magenta
-77.1226217801 38.8201018876 dark-cyan
-77.5969142407 37.4741580526 dark-orange
-76.1203638859 36.8656565504 dark-yellow
-77.6704956492 38.9554384644 royalblue
-77.310556524 38.8759201323 goldenrod
-81.1852240396 36.9933484771 dark-spring-green
-77.4000808851 38.3445939384 purple
-76.323898188 37.0170996922 web-green
-76.3930632474 36.9872281339 web-green
-76.9707450187 38.2589545398 purple
-77.9888356283 38.489362962 red
-77.0856482236 38.7735690186 dark-cyan
-77.5327567991 37.5433394226 dark-orange
-76.1538763538 36.7875593277 dark-yellow
-77.4358126618 38.822958651 goldenrod
-77.3003259958 38.8750981497 goldenrod
-80.0152777876 37.2340325469 dark-spring-green
-77.3060758429 38.6598076717 purple
-77.6177942972 38.8031466355 royalblue
-77.1476900819 38.7657660394 dark-cyan
-76.2621524289 36.8741078827 web-green
-78.5051294442 38.0302094175 red
-77.1480308212 38.7624557993 dark-cyan
-77.1138382981 38.8434847746 dark-cyan
-78.1610573373 39.1983901998 royalblue
-77.205838623 38.9291186475 goldenrod
-77.3949122628 38.9804847689 goldenrod
-77.3743485988 37.6176493209 web-blue
-77.207508628 38.9037654014 goldenrod
-77.6408495681 37.4276127387 dark-orange
-77.430163067 37.5731518464 dark-orange
-77.0929367913 38.8150017355 dark-cyan
-77.5700620155 37.599410454 dark-orange
-77.7982016541 38.7217996358 royalblue
-77.1234454647 38.821742922 dark-cyan
-77.3996742929 39.037108701 royalblue
-77.4980389908 37.2075490973 web-blue
-77.4420649466 39.0316946294 royalblue
-77.0414690781 38.8526448191 dark-cyan
-76.0850743016 36.6074335022 dark-yellow
-77.0879415648 38.7534162606 dark-cyan
-77.4215474835 37.563341027 dark-orange
-76.3736479181 36.8429429951 web-green
-77.4609401512 37.3873066602 web-blue
-77.3154891129 38.5669335765 purple
