AFFGEOID,DNAME11
1500000US516500113002, 27
1500000US517000303007, 42
1500000US511930104004, 97
1500000US510479303003, 83
1500000US510594214001, 89
1500000US517600704002, 76
1500000US518100462132, 37
1500000US510594914021, 84
1500000US510594618021, 87
1500000US511610307024, 14
1500000US511539012092, 96
1500000US511539015071, 55
1500000US510594223023, 88
1500000US517100032003, 34
1500000US515400006001, 70
1500000US510594224011, 88
1500000US510594528022, 99
1500000US518400002013, 91
1500000US510594712021, 30
1500000US510594808011, 52
1500000US510853211001, 66
1500000US510594713012, 64
1500000US510411009124, 69
1500000US517600107002, 66
1500000US515102002022, 98
1500000US510872001061, 74
1500000US510619303023, 55
1500000US515102003022, 93
1500000US511076112071, 56
1500000US510538403003, 59
1500000US511076110182, 56
1500000US510139802001, 98
1500000US518100464004, 39
1500000US510594215001, 89
1500000US517600109003, 60
1500000US517402130021, 32
1500000US510411008161, 71
1500000US511539009012, 80
1500000US511730306001, 7
1500000US510594405012, 85
1500000US510594809031, 52
1500000US517600108001, 66
1500000US511076112022, 56
1500000US511610302042, 13
1500000US510594308022, 95
1500000US515708304001, 59
1500000US515800601004, 16
1500000US510594507011, 95
1500000US516500101044, 27
1500000US511076110112, 54
1500000US518100454062, 39
1500000US510594318011, 85
1500000US510594205022, 89
1500000US511539008022, 80
1500000US517308106001, 59
1500000US517100043001, 41
1500000US510594611003, 63
1500000US518100462121, 38
1500000US511770203043, 72
1500000US510090104022, 10
1500000US518100462202, 37
1500000US510411005051, 59
1500000US518000757023, 45
1500000US515500210052, 40
1500000US510872011011, 60
1500000US517600102004, 66
1500000US518100408021, 43
1500000US510872005021, 76
1500000US510872001262, 74
1500000US510594201001, 88
1500000US510872008052, 66
1500000US510872001261, 74
1500000US510594823011, 62
1500000US517100006003, 24
1500000US510131016033, 31
1500000US516500105022, 42
1500000US510594617002, 63
1500000US511539002023, 94
1500000US518100416001, 38
1500000US517750105021, 14
1500000US515102012033, 98
1500000US516800007003, 10
1500000US510131006003, 31
1500000US511210203004, 21
1500000US511539005011, 94
1500000US510594712013, 64
1500000US511076116022, 52
1500000US518000653001, 45
1500000US511019503002, 73
1500000US511076112082, 56
1500000US510594307002, 92
1500000US517600414001, 77
1500000US517100029001, 34
1500000US510594713011, 64
1500000US517000322262, 44
1500000US518400001005, 91
1500000US511910105023, 2
1500000US517600505002, 76
1500000US510131029011, 100
1500000US510411008051, 71
1500000US517600104011, 66
1500000US510030108004, 70
1500000US516839103023, 81
1500000US510594711003, 64
1500000US517402131042, 35
1500000US510853211003, 66
1500000US518100428022, 23
1500000US518100462223, 37
1500000US510131024003, 100
1500000US511210202014, 21
1500000US517100033002, 34
1500000US517600205002, 60
1500000US510594714022, 64
1500000US510872004103, 74
1500000US517402126003, 33
1500000US511539004041, 96
1500000US516003003003, 87
1500000US516900005004, 6
1500000US517100037001, 34
1500000US515500208071, 37
1500000US516500111001, 27
1500000US516003004002, 87
1500000US510131035021, 100
1500000US511455002004, 75
1500000US511990502043, 36
1500000US510872001073, 68
1500000US517100066041, 24
1500000US510872015012, 60
1500000US517308113004, 57
1500000US518200035001, 11
1500000US517600405002, 76
1500000US510872002024, 74
1500000US511210204004, 21
1500000US510594402011, 64
1500000US511076112051, 56
1500000US510594211021, 88
1500000US516500118005, 27
1500000US516300003011, 90
1500000US510131018022, 31
1500000US515102020011, 98
1500000US516400701013, 4
1500000US510594913031, 84
1500000US510594503001, 64
1500000US518100460092, 38
1500000US516105001002, 64
1500000US517402127012, 33
1500000US515102004053, 93
1500000US511076110051, 54
1500000US510872008053, 66
1500000US518100440012, 9
1500000US516800008022, 19
1500000US510594211033, 88
1500000US511210203006, 21
1500000US510594913012, 84
1500000US515102007031, 98
1500000US517100070022, 41
1500000US510131031001, 100
1500000US518100442003, 9
1500000US510594516013, 99
1500000US517000301001, 42
1500000US511610311021, 13
1500000US518400001002, 91
1500000US510330302021, 97
1500000US511076116011, 56
1500000US511076110061, 56
1500000US517700023001, 13
1500000US510594914031, 84
1500000US510594408003, 95
1500000US510594804011, 62
1500000US518100438003, 9
1500000US517100042001, 41
1500000US517750105022, 14
1500000US510594708001, 30
1500000US517700024003, 17
1500000US510131016032, 31
1500000US510594216003, 89
1500000US517100049001, 32
1500000US517600201001, 60
1500000US510872010013, 60
1500000US515500214044, 33
1500000US516800019002, 10
1500000US510594706001, 30
1500000US510594808023, 52
1500000US516003004001, 87
1500000US517500102003, 5
1500000US517100007002, 24
1500000US517700004001, 13
1500000US510594522004, 95
1500000US517100047001, 41
1500000US517600503001, 76
1500000US510594709004, 30
1500000US510594708002, 30
1500000US510594205011, 89
1500000US517750101002, 14
1500000US511770202032, 90
1500000US515102019002, 98
1500000US517600110003, 66
1500000US510872004101, 74
1500000US510131025002, 100
1500000US518100462072, 37
1500000US510872001251, 74
1500000US511539017015, 82
1500000US510411010082, 69
1500000US517000321314, 44
1500000US516800007002, 10
1500000US510411009023, 76
1500000US517100031003, 34
1500000US510594825022, 86
1500000US517100038002, 32
1500000US516708205001, 57
1500000US510950801014, 46
1500000US511390301001, 29
1500000US510594304001, 95
1500000US510131017032, 31
1500000US518100462212, 37
1500000US510131002005, 30
1500000US517000322121, 44
1500000US510594221023, 94
1500000US518100418013, 43
1500000US515102001033, 93
1500000US511210204003, 21
1500000US510594512002, 99
1500000US517100031002, 34
1500000US510594521012, 95
1500000US516003005001, 87
1500000US518100408011, 43
1500000US517100061004, 41
1500000US518100410021, 38
1500000US510594202013, 88
1500000US510594156001, 89
1500000US510411008122, 71
1500000US510594825012, 52
1500000US510594809011, 52
1500000US510594158001, 89
1500000US510594814004, 62
1500000US517900003004, 20
1500000US517000304001, 42
1500000US516708201001, 57
1500000US510594912014, 84
1500000US510594322021, 85
1500000US510594208001, 89
1500000US517600607003, 77
1500000US510594805022, 52
1500000US518000755013, 35
1500000US515500210122, 40
1500000US515500202002, 41
1500000US517308113001, 59
1500000US515958902003, 58
1500000US510594615001, 63
1500000US517000313002, 42
1500000US515102013002, 98
1500000US517600708023, 71
1500000US518100462064, 37
1500000US510594913013, 84
1500000US517600406001, 76
1500000US510872007002, 66
1500000US516003004003, 87
1500000US510950802032, 73
1500000US511539012372, 96
1500000US518100448082, 23
1500000US510594310011, 85
1500000US510872003021, 76
1500000US510594821001, 62
1500000US515900003002, 25
1500000US511930104005, 97
1500000US511539009013, 80
1500000US517600410001, 77
1500000US510872005032, 74
1500000US510594528012, 99
1500000US510872009043, 66
1500000US516003002004, 87
1500000US515102011003, 98
1500000US510853206012, 65
1500000US511539017016, 82
1500000US511210204002, 21
1500000US517000313004, 42
1500000US510411008181, 71
1500000US516500118004, 27
1500000US518100462191, 37
1500000US517100004003, 34
1500000US511930104003, 97
1500000US515200201003, 2
1500000US517308110001, 58
1500000US515500202004, 41
1500000US515102001073, 100
1500000US516800019003, 10
1500000US510090105021, 10
1500000US517308107002, 58
1500000US518100444012, 23
1500000US510872015015, 60
1500000US510594901034, 84
1500000US510594202031, 93
1500000US510030108002, 70
1500000US515500214032, 33
1500000US517100026002, 34
1500000US517600212001, 60
1500000US510872001062, 74
1500000US518100418012, 43
1500000US510594309011, 92
1500000US511539015063, 55
1500000US511210207003, 21
1500000US516900002002, 6
1500000US510131033002, 100
1500000US515102020021, 98
1500000US517600504002, 76
1500000US510872003031, 76
1500000US518100462242, 39
1500000US517600203001, 60
1500000US518100434002, 23
1500000US510872002012, 74
1500000US510131035032, 98
1500000US510594204002, 98
1500000US510594918031, 86
1500000US517700009004, 14
1500000US515102012023, 98
1500000US518400002022, 91
1500000US510131035013, 100
1500000US510594918033, 86
1500000US517402103003, 32
1500000US510594709002, 30
1500000US518000655002, 45
1500000US516500118006, 42
1500000US516500115001, 27
1500000US516500116001, 27
1500000US517700025004, 17
1500000US518100458011, 38
1500000US510594525022, 93
1500000US511076110221, 51
1500000US516900002003, 6
1500000US517000312002, 42
1500000US510594306001, 95
1500000US515102004071, 93
1500000US510872010011, 66
1500000US510131020011, 31
1500000US516500103133, 42
1500000US511350003002, 26
1500000US510594214003, 89
1500000US517402131013, 35
1500000US517000321291, 36
1500000US517100056023, 24
1500000US515500208082, 41
1500000US518400001001, 91
1500000US510594914014, 84
1500000US510131008001, 30
1500000US510872001194, 74
1500000US510594507022, 95
1500000US517900002001, 20
1500000US510594616023, 64
1500000US510872011013, 60
1500000US511539007012, 96
1500000US510594618022, 87
1500000US518100440033, 9
1500000US510594407021, 95
1500000US516500103121, 42
1500000US517000322232, 44
1500000US510872001201, 68
1500000US518100460121, 38
1500000US516839104024, 81
1500000US516500119001, 27
1500000US510872001242, 68
1500000US510594705001, 30
1500000US516708205003, 57
1500000US518000651002, 45
1500000US518100462221, 37
1500000US515102007033, 98
1500000US510411009214, 67
1500000US518100454271, 9
